feature,outcome,r,p_value,n,method,x_normal,y_normal
sampen_mother_fHR_accel,LANG COMP SCORE,0.12286892540238122,0.3538744434858677,59,spearman,False,True
sampen_mother_fHR_accel,MOTOR FINE  SKILLS SCORE,0.14684108619899602,0.2507978299223266,63,spearman,False,True
sampen_mother_fHR_accel,MOTOR GROSS SKILLS SCORE,-0.06988535376223114,0.583187053163259,64,spearman,False,False
sampen_mother_fHR_accel,MOTOR COMPOSITE SCORE,0.23023007263464967,0.06948216472344088,63,spearman,False,True
sampen_fetus_fHR_decel,Mother Score_PSS,,,118,spearman,True,False
sampen_fetus_fHR_decel,Mother Score PDQ,,,118,spearman,True,False
sampen_fetus_fHR_decel,Mother CORTISOL (pg/mg of maternal hair),,,90,spearman,True,False
sampen_fetus_fHR_decel,COG COMPOSITE SCORE,,,65,spearman,True,False
sampen_fetus_fHR_decel,LANG RECEPT SCORE,,,59,pearson,True,True
sampen_fetus_fHR_decel,LANG EXPRES SCORE,,,59,pearson,True,True
sampen_fetus_fHR_decel,LANG COMP SCORE,,,59,pearson,True,True
sampen_fetus_fHR_decel,MOTOR FINE  SKILLS SCORE,,,63,pearson,True,True
sampen_fetus_fHR_decel,MOTOR GROSS SKILLS SCORE,,,64,spearman,True,False
sampen_fetus_fHR_decel,MOTOR COMPOSITE SCORE,,,63,pearson,True,True
sampen_mother_fHR_decel,Mother Score_PSS,,,118,spearman,True,False
sampen_mother_fHR_decel,Mother Score PDQ,,,118,spearman,True,False
sampen_mother_fHR_decel,Mother CORTISOL (pg/mg of maternal hair),,,90,spearman,True,False
sampen_mother_fHR_decel,COG COMPOSITE SCORE,,,65,spearman,True,False
sampen_mother_fHR_decel,LANG RECEPT SCORE,,,59,pearson,True,True
sampen_mother_fHR_decel,LANG EXPRES SCORE,,,59,pearson,True,True
sampen_mother_fHR_decel,LANG COMP SCORE,,,59,pearson,True,True
sampen_mother_fHR_decel,MOTOR FINE  SKILLS SCORE,,,63,pearson,True,True
sampen_mother_fHR_decel,MOTOR GROSS SKILLS SCORE,,,64,spearman,True,False
sampen_mother_fHR_decel,MOTOR COMPOSITE SCORE,,,63,pearson,True,True
sampen_fetus_mHR_accel,Mother Score_PSS,0.02322356341471344,0.8028807328250264,118,spearman,False,False
sampen_fetus_mHR_accel,Mother Score PDQ,0.038320041684511426,0.6803523363668931,118,spearman,False,False
sampen_fetus_mHR_accel,Mother CORTISOL (pg/mg of maternal hair),-0.13117228447031737,0.21781937869147197,90,spearman,False,False
sampen_fetus_mHR_accel,COG COMPOSITE SCORE,0.06693104306866358,0.5962924415772477,65,spearman,False,False
sampen_fetus_mHR_accel,LANG RECEPT SCORE,0.07661422800522656,0.5641134132650358,59,spearman,False,True
sampen_fetus_mHR_accel,LANG EXPRES SCORE,-0.06114617520382467,0.6454771681003781,59,spearman,False,True
sampen_fetus_mHR_accel,LANG COMP SCORE,0.03328252820241889,0.8023960477618591,59,spearman,False,True
sampen_fetus_mHR_accel,MOTOR FINE  SKILLS SCORE,-0.2904234651331302,0.020942718692363207,63,spearman,False,True
sampen_fetus_mHR_accel,MOTOR GROSS SKILLS SCORE,-0.14172772550039225,0.26394073805569307,64,spearman,False,False
sampen_fetus_mHR_accel,MOTOR COMPOSITE SCORE,-0.2137332101650517,0.09257256717161992,63,spearman,False,True
sampen_mother_mHR_accel,Mother Score_PSS,0.025337589827696086,0.7853525665724158,118,spearman,False,False
